OTU,X9P246R1D4,X9P246R1Dm3,X9P247R1Dm3,X9P248R1Dm3,X9P249R1Dm3,X9P250R1D0,X9P250R1D4,X9P250R1Dm3,X9P251R1D7,X9P251R1Dm3,X9P252R1Dm3,X9P253R1D7,X9P253R1Dm3,X9P254R1Dm3,X9P255R1D0,X9P255R1D7,X9P255R1Dm3,X9P257R1D0,X9P257R1D4,X9P257R1Dm3,X9P258R1D0,X9P258R1D4,X9P258R1Dm3,X9P259R1D0,X9P259R1D4,X9P259R1Dm3,X9P261R1D0,X9P261R1D7,X9P261R1Dm3,X9P262R1D7,X9P262R1Dm3,X9P263R1D0,X9P263R1D7,X9P263R1Dm3,X9P264R1D0,X9P264R1D7,X9P264R1Dm3,X9P265R1D0,X9P265R1D7,X9P265R1Dm3,X9P266R2D4,X9P266R2Dm3,X9P267R2D0,X9P267R2D4,X9P267R2Dm3,X9P268R2Dm3,X9P269R2D0,X9P269R2D4,X9P269R2Dm3,X9P270R2Dm3,X9P271R2D7,X9P271R2Dm3,X9P272R2D7,X9P272R2Dm3,X9P273R2D7,X9P273R2Dm3,X9P274R2D7,X9P274R2Dm3,X9P275R2D7,X9P275R2Dm3,X9P276R2Dm3,X9P277R2Dm3,X9P278R2D0,X9P278R2D4,X9P278R2Dm3,X9P279R2Dm3,X9P280R2D0,X9P280R2Dm3,X9P281R2D7,X9P281R2Dm3,X9P282R2D7,X9P282R2Dm3,X9P283R2D7,X9P283R2Dm3,X9P284R2D0,X9P284R2D7,X9P284R2Dm3,X9P285R2D7,X9P285R2Dm3,X9P286R3D0,X9P286R3D4,X9P286R3Dm3,X9P287R3Dm3,X9P288R3Dm3,X9P289R3D4,X9P289R3Dm3,X9P290R3D0,X9P290R3D4,X9P290R3Dm3,X9P291R3D0,X9P291R3D7,X9P291R3Dminus3,X9P292R3D7,X9P292R3Dm3,X9P293R3D0,X9P293R3D7,X9P293R3Dm3,X9P294R3D7,X9P294R3Dm3,X9P295R3D0,X9P295R3D7,X9P295R3Dm3,X9P296R3D0,X9P296R3D4,X9P296R3Dm3,X9P297R3D0,X9P297R3D4,X9P297R3Dminus3,X9P298R3D4,X9P299R3D0,X9P299R3D4,X9P299R3Dm3,X9P300R3D0,X9P300R3Dm3,X9P301R3D0,X9P301R3D7,X9P301R3Dm3,X9P302R3D0,X9P302R3D7,X9P302R3Dm3,X9P303R3D7,X9P303R3Dminus3,X9P304R3D0,X9P304R3D7,X9P304R3Dm3,X9P305R3D0,X9P305R3D7,X9P305R3Dm3,X9P306R4D4,X9P306R4Dm3,X9P307R4Dm3,X9P308R4D0,X9P308R4Dm3,X9P309R4D0,X9P309R4D4,X9P309R4Dminus3,X9P310R4D0,X9P310R4Dm3,X9P311R4D7,X9P311R4Dm3,X9P312R4D7,X9P312R4Dm3,X9P313R4D7,X9P313R4Dm3,X9P314R4D7,X9P315R4D7,X9P316R4D4,X9P316R4Dm3,X9P317R4D0,X9P317R4D4,X9P317R4Dm3,X9P318R4D4,X9P319R4D4,X9P319R4Dm3,X9P320R4D0,X9P320R4Dm3,X9P321R4D7,X9P321R4Dm3,X9P322R4D0,X9P322R4D7,X9P322R4Dm3,X9P323R4D7,X9P323R4Dm3,X9P324R4D0,X9P324R4D7,X9P324R4Dm3,X9P325R4D7,X9P325R4Dm3,Taxonomy
Otu0028,0,44,0,5,1,13,2,21,3,1,3,2,4,10,2,3,9,2,3,3,0,12,13,0,31,1,1,1,1,10,7,0,27,2,0,0,4,30,8,6,0,1,1,3,3,66,6,0,2,1,2,67,8,18,2,2,0,24,1,10,2,1,4,14,4,12,12,8,8,32,4,0,0,0,8,6,5,1,1,6,4,5,0,0,3,0,3,0,10,0,7,6,1,6,2,7,0,9,3,1,0,4,0,2,13,7,0,0,5,0,14,12,0,5,5,8,0,8,6,7,13,6,19,0,4,10,7,2,0,4,0,13,7,5,4,3,6,5,18,2,17,30,15,1,62,6,37,0,0,0,1,1,2,12,0,1,1,3,0,0,4,2,6,5,18,11,6,1,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified;
Otu0029,2,16,0,1,11,24,4,0,5,13,0,0,13,0,65,4,2,18,2,3,5,3,5,8,2,11,17,0,9,5,0,12,4,15,3,1,2,21,2,0,2,2,3,5,4,1,24,4,14,6,9,14,11,2,3,4,4,3,3,1,1,1,16,3,2,0,2,1,25,2,16,2,28,3,9,8,3,19,0,7,2,8,0,0,8,0,0,3,2,3,11,11,1,3,53,11,31,8,9,8,26,1,0,0,4,1,4,2,0,12,5,11,7,12,30,4,7,8,3,3,3,37,6,0,5,4,1,5,0,4,0,0,1,3,4,0,2,0,9,8,3,9,21,0,10,6,27,2,0,0,7,14,2,1,25,10,6,19,3,2,2,11,3,0,10,5,2,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;
Otu0030,2,0,1,49,6,0,3,48,0,14,95,1,3,34,4,9,15,6,3,21,0,6,2,8,5,29,1,3,0,18,7,1,1,3,0,1,0,0,0,7,0,1,4,0,10,5,9,4,5,6,4,7,1,19,1,27,9,1,0,20,0,10,5,0,5,1,0,13,2,12,0,5,5,17,15,7,7,15,7,3,3,5,28,1,0,20,0,4,29,2,1,2,3,12,4,9,25,0,17,1,2,12,0,1,3,0,0,0,0,0,0,15,6,4,1,0,9,0,12,14,7,2,16,9,10,0,4,81,0,10,14,2,3,1,6,19,3,31,2,29,0,2,5,0,0,1,2,4,0,1,20,12,1,3,13,7,0,17,2,4,26,3,7,18,1,12,11,4,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_unclassified;
Otu0031,16,5,1,23,2,15,1,1,2,2,5,13,4,1,0,5,6,2,4,14,2,4,0,3,8,1,0,8,17,7,0,5,16,4,2,10,5,4,9,1,5,5,0,1,9,17,2,13,3,12,12,5,8,1,3,1,6,0,6,22,1,0,0,16,7,1,10,50,5,12,8,0,1,1,4,3,2,1,4,1,1,3,0,12,14,0,1,0,4,1,12,1,3,3,3,13,4,6,54,8,10,27,1,11,4,5,9,1,6,6,3,6,8,13,11,4,8,0,3,0,18,30,6,19,16,8,1,0,2,4,0,3,3,0,9,0,0,4,8,5,8,1,17,0,0,3,3,0,1,0,9,4,7,7,2,8,6,1,0,6,4,2,2,2,2,2,4,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;
Otu0032,1,0,0,0,0,12,0,0,10,1,0,5,6,0,0,1,0,3,0,39,0,4,22,1,3,0,0,0,24,5,0,0,5,0,0,0,0,1,8,15,24,6,0,126,0,3,0,0,0,10,2,0,27,0,12,2,3,0,0,0,0,0,3,5,19,2,0,0,25,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,5,0,14,17,0,24,0,52,0,2,0,0,0,1,0,0,9,0,3,2,47,1,2,0,0,1,0,1,6,0,14,0,3,17,13,0,14,0,11,0,0,2,0,0,0,0,0,0,34,1,13,0,8,0,15,32,3,0,0,0,0,2,0,2,2,0,43,0,0,0,0,1,0,0,1,0,3,0,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
Otu0033,3,0,2,0,1,0,0,0,0,2,0,4,3,2,2,7,0,4,123,1,3,22,0,0,68,0,7,112,0,0,0,2,0,0,0,9,0,0,22,9,0,4,0,0,0,0,22,0,6,0,0,3,1,1,72,2,3,1,0,2,0,1,10,3,0,0,1,0,0,0,0,0,0,0,3,4,10,1,0,150,30,3,2,6,1,3,3,0,1,22,4,24,4,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,17,32,5,1,1,9,2,1,0,1,2,0,18,8,0,19,0,3,4,0,1,1,0,0,0,3,0,0,0,9,9,0,0,5,79,19,1,0,0,1,3,0,16,0,0,0,8,3,11,0,1,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;
Otu0034,7,23,0,6,1,14,0,10,1,0,25,7,1,1,0,0,32,1,0,1,0,0,0,0,0,2,2,1,15,0,1,5,11,0,1,1,16,10,1,0,1,3,0,1,8,7,0,10,0,50,0,12,4,0,0,0,1,12,5,21,5,0,0,0,26,1,2,0,1,0,2,9,0,0,0,0,0,0,0,76,14,57,2,15,37,18,3,0,0,7,4,0,4,1,0,1,7,0,12,7,3,64,0,18,0,29,2,0,16,16,0,46,14,8,24,3,0,2,3,0,4,18,27,13,55,7,7,1,3,0,0,5,3,0,0,0,0,6,13,2,16,3,1,0,0,0,0,0,0,0,11,2,3,0,1,47,3,0,0,0,14,0,0,0,0,4,0,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;
Otu0035,1,0,0,1,4,5,2,1,14,0,1,6,2,0,6,13,6,40,6,3,76,32,0,1,48,1,6,11,0,9,0,4,1,2,1,31,0,2,40,0,16,3,12,3,0,1,3,6,0,0,0,0,3,0,11,0,13,0,3,0,0,0,0,2,0,0,0,2,5,0,7,0,1,0,10,4,0,3,1,26,278,1,0,0,25,0,0,30,0,3,7,0,4,0,5,6,0,5,0,12,16,0,8,21,0,2,14,3,33,8,0,0,1,0,0,18,1,9,1,1,8,3,7,4,1,2,2,0,4,0,0,18,0,12,7,0,21,1,3,0,1,1,5,1,2,1,3,0,2,26,0,11,39,2,0,0,6,0,5,10,0,13,0,2,5,0,1,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-014;
Otu0036,0,0,16,5,9,0,0,30,0,13,26,0,1,34,0,2,6,0,0,0,0,1,7,9,1,6,5,11,5,0,9,0,0,2,0,0,0,3,1,26,0,0,0,0,0,0,6,0,3,0,4,2,8,74,1,61,5,2,11,11,39,11,4,0,6,1,0,0,0,3,0,5,6,2,2,4,3,1,0,0,0,4,6,51,41,24,10,3,28,0,0,1,10,2,0,0,6,0,3,0,0,1,10,0,8,0,0,0,0,26,0,8,1,24,6,0,12,1,1,17,0,0,1,3,0,0,0,14,0,13,16,0,2,1,0,3,10,32,5,14,0,0,6,0,0,0,3,16,0,0,0,2,1,20,1,1,26,0,6,0,32,1,6,4,32,14,28,14,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0037,2,22,9,1,24,1,7,12,2,2,4,6,19,3,0,2,1,1,2,8,1,2,7,5,1,6,3,17,1,4,3,6,6,0,0,3,11,0,5,26,2,30,3,6,1,1,7,1,0,15,10,4,5,6,2,9,1,22,3,0,1,3,3,0,1,4,0,1,3,6,7,5,1,8,3,2,2,4,0,2,0,3,0,20,1,1,3,0,2,3,7,1,12,2,5,7,1,6,1,5,44,2,0,1,2,0,10,17,2,2,9,8,5,8,12,13,1,2,11,3,6,2,0,4,8,0,16,3,1,15,0,3,4,13,2,1,0,1,1,0,19,4,6,2,3,1,3,8,0,0,1,0,2,0,0,5,1,8,0,5,0,7,0,3,2,4,8,1,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;
Otu0038,0,0,0,0,0,10,9,0,11,5,0,3,0,0,2,13,0,0,2,0,0,2,1,0,0,0,0,8,0,5,1,33,5,10,3,7,5,0,1,4,8,6,1,25,3,0,12,1,2,4,10,0,9,1,0,1,4,2,0,5,0,0,2,7,0,0,10,5,10,3,2,2,38,7,1,7,0,10,0,3,5,1,0,9,3,0,0,0,4,8,3,21,3,3,11,24,3,8,1,14,9,0,0,7,2,0,1,24,2,3,6,2,3,8,1,42,1,2,4,0,5,1,0,4,3,3,10,10,3,6,0,1,1,2,3,4,3,1,6,1,3,0,12,1,5,13,0,0,0,7,3,1,5,0,3,7,1,2,0,2,0,6,0,6,2,3,0,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
Otu0039,0,1,0,0,11,6,0,0,37,0,3,29,3,2,0,5,0,0,0,15,1,3,22,0,2,0,0,6,9,15,2,1,12,0,0,1,0,23,13,9,0,16,0,2,0,19,0,0,0,22,0,0,1,5,2,5,0,28,3,0,0,0,0,1,1,0,0,3,18,0,38,0,0,0,0,0,0,0,0,5,2,1,0,1,1,0,0,2,0,0,29,0,12,0,3,10,0,9,0,0,1,0,1,0,0,0,0,0,8,18,23,0,8,1,13,7,0,0,3,1,0,3,2,0,16,3,2,0,7,8,0,6,0,0,13,1,0,1,29,1,9,3,8,1,7,13,9,0,0,0,0,1,3,4,2,0,25,0,0,2,0,2,0,4,2,0,11,0,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
Otu0040,17,1,9,0,23,9,8,0,2,0,5,6,12,16,22,10,5,1,1,2,0,3,2,18,5,39,0,8,0,12,0,3,2,0,0,5,3,0,1,0,1,22,4,0,26,3,29,0,1,2,4,0,0,0,22,0,5,0,4,3,4,1,21,9,5,1,1,0,2,0,5,2,5,0,7,14,6,11,0,7,14,4,0,14,0,12,0,0,3,2,3,10,4,4,34,23,3,1,1,16,9,5,0,4,1,3,0,9,2,5,0,0,7,15,1,5,2,18,17,14,2,5,3,2,3,0,7,3,0,24,0,6,73,0,6,2,4,0,1,1,1,5,8,0,0,1,1,3,1,0,2,2,5,9,5,0,3,18,0,4,7,4,2,7,3,5,0,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae_ge;
Otu0041,0,7,0,2,1,2,0,3,18,2,0,1,2,2,53,2,11,1,2,6,5,3,1,21,2,2,1,5,6,3,0,12,5,6,5,3,17,6,5,1,16,8,2,13,4,2,4,2,8,9,7,10,9,7,1,2,4,1,0,3,5,2,16,0,4,1,6,0,3,10,11,8,9,3,7,8,20,3,0,1,0,0,0,10,1,0,7,1,0,7,0,2,8,2,19,2,8,5,3,16,4,4,0,3,13,0,14,26,12,16,2,5,0,1,16,3,6,0,3,1,8,5,16,4,5,0,17,2,8,4,3,7,3,0,1,1,4,2,4,0,14,2,7,2,4,18,3,4,1,1,8,1,1,1,7,1,0,1,1,1,0,14,0,0,2,1,5,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
Otu0042,2,6,1,0,0,27,0,5,14,0,7,0,2,1,1,2,4,0,0,0,0,0,0,3,3,3,1,4,29,0,0,4,17,3,0,5,13,2,2,2,27,3,22,53,18,11,0,1,1,14,0,2,1,6,0,1,0,2,1,0,0,1,3,11,8,3,5,1,6,23,20,3,2,2,0,5,1,0,2,1,0,2,0,3,5,2,0,0,0,0,0,1,0,0,0,1,3,11,7,40,22,4,0,14,0,1,36,37,36,14,55,5,1,3,0,28,4,2,0,1,2,14,5,14,22,9,12,0,14,2,0,8,0,0,2,5,0,0,6,0,22,4,7,0,8,7,0,1,0,2,2,0,0,2,1,0,0,0,0,17,1,11,0,0,1,1,0,1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0043,1,0,2,37,5,4,3,5,6,4,10,9,2,22,12,17,13,10,4,10,0,4,3,1,5,5,6,3,0,6,29,4,3,15,0,9,9,2,1,10,0,1,1,2,0,2,16,5,12,0,37,0,9,13,1,12,2,1,5,9,4,1,1,1,5,1,0,1,21,0,9,0,1,1,2,13,0,16,5,1,1,1,2,9,3,18,5,2,2,21,4,22,10,24,2,10,3,8,0,2,4,3,0,1,5,0,2,1,1,1,2,1,8,10,3,0,12,3,0,18,5,6,4,0,1,3,1,24,0,1,39,0,2,0,2,4,7,2,7,3,1,1,2,9,2,3,5,1,0,0,0,2,4,5,8,8,1,10,0,1,6,1,6,16,0,1,8,16,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_3;
Otu0044,0,1,33,0,3,4,3,0,0,0,0,1,0,22,2,8,0,3,0,15,0,0,1,0,0,0,6,1,65,0,1,0,0,6,0,0,0,16,2,0,3,6,0,0,1,9,12,19,7,0,1,0,27,1,3,2,3,0,4,41,1,29,0,0,20,1,0,0,0,1,4,2,1,0,23,1,69,0,40,10,9,0,0,0,47,6,17,0,13,5,1,0,0,5,1,1,40,1,8,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,2,15,0,1,1,2,0,0,0,0,0,32,0,30,0,0,1,0,0,0,0,0,0,0,2,2,0,1,56,0,3,2,0,0,0,0,1,0,10,12,0,2,4,0,2,3,95,5,20,4,1,14,1,11,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
Otu0045,32,6,2,2,7,4,1,2,2,4,4,3,18,1,1,2,18,1,0,1,0,3,7,0,0,2,3,2,0,0,2,0,9,1,0,1,26,1,1,5,0,0,0,2,19,12,2,5,1,108,0,7,2,1,1,4,1,4,2,16,2,5,1,4,7,1,0,6,0,1,5,6,0,7,2,4,16,0,4,4,1,26,6,3,7,1,1,6,1,1,4,2,14,2,0,1,3,2,8,0,0,22,4,3,1,3,2,0,1,7,0,14,5,4,4,2,1,10,2,1,3,10,25,3,25,14,1,9,0,7,5,0,6,1,18,0,2,2,11,32,15,15,5,2,5,2,0,0,0,7,29,0,12,5,0,21,7,13,0,27,3,2,10,4,5,23,1,0,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerovibrio;
Otu0046,0,0,19,1,5,1,0,5,0,3,8,0,2,33,0,3,2,1,0,2,0,0,2,0,1,22,2,0,6,0,3,3,0,3,0,2,1,0,0,0,1,6,0,0,7,5,1,0,5,0,2,10,0,17,0,5,5,58,2,9,6,11,0,0,1,0,0,3,1,2,1,0,1,22,1,0,17,0,1,0,0,0,36,10,7,88,2,0,9,2,6,3,1,8,1,1,12,0,0,1,2,2,0,0,10,0,2,0,0,10,0,7,4,14,4,2,23,1,0,3,0,5,0,0,0,2,0,15,0,68,20,0,29,0,7,1,0,14,0,3,0,1,3,1,0,1,4,31,0,0,3,1,1,12,0,6,3,11,1,0,23,3,26,0,0,41,4,27,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group;
Otu0047,0,0,0,0,0,7,8,0,11,0,0,12,0,0,0,1,0,19,3,6,0,3,5,11,3,0,0,1,4,0,0,0,1,0,0,1,0,7,11,0,28,0,0,24,0,2,0,1,0,0,1,0,9,0,1,0,2,0,4,0,0,0,10,15,3,0,0,0,25,0,17,0,0,0,0,9,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,21,0,0,7,0,13,0,0,1,0,0,20,0,1,19,0,28,1,24,0,4,0,2,19,0,6,10,0,23,0,1,15,0,6,30,0,8,1,0,0,0,1,6,0,0,0,17,0,13,0,9,0,8,2,13,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,4,0,0,1,0,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;
Otu0048,0,3,0,8,6,4,8,1,10,0,0,6,0,0,22,5,0,6,4,0,3,1,1,2,7,4,1,9,0,20,0,5,6,5,19,12,11,1,2,1,12,0,3,4,3,0,2,2,3,9,12,1,3,1,0,1,4,0,2,0,0,4,4,2,1,0,1,1,4,3,1,2,16,0,1,5,0,7,0,0,5,0,0,1,5,0,0,0,0,4,14,2,22,0,10,12,1,22,0,7,8,1,0,9,2,0,23,9,11,1,10,0,0,0,1,12,1,5,11,1,5,0,0,1,4,3,10,2,2,1,0,3,0,0,4,2,3,4,7,3,8,2,8,0,6,7,1,0,0,4,12,4,0,0,1,0,0,0,0,1,0,12,0,1,3,0,2,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;
Otu0049,4,4,0,1,1,8,1,0,11,2,0,5,17,0,9,3,7,9,6,1,0,6,0,0,0,5,1,3,2,3,0,22,5,16,1,11,1,0,2,0,10,1,1,42,0,1,0,5,0,12,1,0,2,1,0,0,1,0,6,0,0,1,3,0,2,2,2,5,5,3,10,0,6,5,0,3,0,2,2,6,1,4,0,0,3,0,3,0,3,4,4,0,14,0,13,10,0,15,1,15,14,1,1,1,4,0,8,12,8,8,11,2,5,1,4,9,2,0,6,0,10,3,6,4,4,0,10,1,2,0,1,0,0,0,14,0,0,0,8,2,5,1,6,0,11,9,0,0,1,0,5,3,2,0,30,0,6,0,1,3,0,13,0,0,1,0,0,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;
Otu0050,8,2,0,21,12,21,19,3,2,12,0,2,2,0,2,4,0,0,4,0,3,12,2,6,3,0,0,7,2,3,0,21,0,2,3,14,1,8,8,3,6,3,4,0,0,5,9,0,0,0,16,0,5,0,2,5,12,24,6,1,0,0,16,10,0,0,0,0,5,2,0,0,1,0,3,18,21,5,0,3,3,5,0,0,24,8,0,0,6,2,1,4,4,0,1,0,1,3,0,1,16,0,0,5,32,13,1,1,5,4,0,0,13,1,1,10,0,4,4,2,1,0,6,2,1,35,0,0,1,0,0,1,0,18,10,0,8,0,3,1,0,1,15,0,0,0,4,2,3,8,20,0,4,11,0,0,1,2,7,0,0,3,0,0,1,4,0,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;
Otu0051,0,0,1,38,20,113,0,16,0,0,0,9,2,2,2,8,68,0,0,0,0,0,0,2,0,1,0,2,2,0,3,2,0,2,0,0,2,0,0,3,0,2,0,0,8,3,2,0,8,5,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,2,0,0,9,0,1,0,2,1,0,0,0,2,0,2,1,4,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,8,9,0,0,2,0,1,0,3,1,1,0,7,0,0,0,0,14,0,0,32,0,1,3,0,22,1,58,0,22,0,1,0,0,4,11,0,0,37,0,0,14,0,42,1,69,0,0,0,0,5,2,4,28,1,2,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;
Otu0052,17,1,1,90,4,3,0,6,3,19,15,0,1,2,1,0,13,1,2,0,0,0,0,2,0,6,1,2,1,2,54,0,0,12,1,0,18,0,6,1,1,0,0,0,2,20,2,1,1,17,2,5,1,24,1,1,0,1,1,2,4,2,7,7,0,2,0,5,1,5,0,10,3,7,4,0,4,0,7,5,0,1,8,0,14,12,2,4,12,1,1,0,2,0,1,2,0,2,4,0,0,27,11,1,6,1,0,0,2,2,1,21,0,3,10,3,4,4,0,0,0,4,0,1,11,0,0,0,0,4,3,2,6,8,3,8,4,2,2,85,0,5,1,3,1,3,1,17,10,138,9,0,0,22,0,4,0,0,3,0,14,9,5,3,1,6,1,20,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerovibrio;
Otu0053,9,2,0,0,0,19,0,0,1,2,2,0,0,0,0,3,0,7,17,4,37,0,50,10,1,0,0,2,44,0,0,0,0,0,0,0,0,99,102,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,64,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,80,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,42,0,2,2,3,0,0,0,0,0,3,0,0,0,0,0,3,1,0,6,0,1,0,0,0,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;
Otu0054,1,2,0,0,7,12,20,1,10,0,0,6,2,1,16,2,6,3,2,4,1,2,1,18,15,8,0,3,6,5,0,3,12,9,1,15,3,1,3,0,13,2,2,8,2,2,8,1,5,4,8,2,4,0,0,0,0,1,3,4,0,0,7,5,2,2,2,1,16,1,12,1,5,6,0,3,0,17,0,2,0,13,0,0,5,0,0,0,1,3,6,4,4,1,7,3,1,3,0,8,6,1,0,1,1,1,10,9,4,17,6,0,2,5,0,1,1,6,3,0,3,1,3,0,2,2,13,0,1,4,0,1,5,5,0,1,8,3,4,3,1,6,15,2,5,8,1,0,1,0,6,10,0,0,28,1,5,0,0,1,1,8,0,0,1,0,3,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_ge;
Otu0055,1,8,0,0,14,4,12,0,7,1,0,4,3,0,0,1,0,0,0,1,0,2,0,9,0,0,0,7,0,2,0,16,3,8,2,0,6,0,0,1,5,3,0,23,1,3,5,2,1,1,1,8,7,0,1,0,1,0,0,0,5,3,11,5,1,1,8,2,1,1,5,3,10,6,2,2,0,4,1,2,0,2,0,1,1,0,0,0,0,0,10,2,0,0,6,22,0,7,1,15,27,1,1,0,3,0,8,56,6,8,1,2,0,0,8,13,4,1,3,0,5,2,7,1,1,0,12,0,2,2,0,1,5,0,1,1,0,3,4,0,2,4,6,0,5,6,2,1,3,2,8,1,0,2,3,1,2,3,2,5,0,19,0,0,8,3,1,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;
Otu0056,4,11,0,0,4,8,12,3,1,6,1,0,4,0,0,3,2,3,4,7,1,2,3,3,0,0,5,0,1,2,0,1,2,8,4,9,6,6,10,2,1,11,5,11,0,2,39,0,69,26,6,18,0,0,0,11,0,0,0,3,0,0,11,3,2,0,0,0,4,0,0,3,3,0,1,9,4,1,0,4,1,3,1,16,2,0,0,0,3,0,6,0,2,5,30,4,1,1,1,5,4,1,0,0,0,0,3,19,2,1,0,9,5,5,0,9,0,15,7,0,8,4,1,0,8,0,8,9,1,2,0,0,4,5,4,0,0,11,0,1,2,7,2,2,2,0,3,2,0,0,3,1,0,1,0,0,1,9,0,6,0,3,0,0,3,0,0,3,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;
Otu0057,2,0,41,4,5,1,4,13,3,2,3,0,0,4,23,5,3,2,0,5,4,1,4,2,31,18,4,0,0,2,19,0,0,2,0,0,0,0,0,12,0,0,1,0,0,3,8,2,1,0,8,0,6,14,0,5,1,2,9,0,8,5,5,1,2,0,0,0,1,1,0,0,10,0,4,3,0,12,0,0,1,0,7,0,2,10,0,2,13,9,3,3,2,1,1,6,5,8,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,4,2,5,7,1,53,1,0,1,0,0,2,0,9,0,0,4,0,0,1,0,1,10,0,3,3,0,0,11,0,0,4,4,1,5,1,6,0,2,1,73,1,32,2,1,4,0,23,1,0,7,1,16,0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_unclassified;
Otu0058,0,8,1,0,0,4,0,1,0,0,0,1,2,0,0,2,0,1,1,17,0,1,8,0,4,0,0,0,64,2,0,0,68,0,0,1,9,0,0,4,14,9,0,22,1,18,0,1,0,34,0,0,0,3,0,5,0,1,2,2,0,1,0,7,10,7,0,3,30,29,3,17,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,1,0,0,0,0,0,4,4,42,0,0,0,0,0,0,0,4,5,0,3,8,0,0,0,0,2,0,0,0,0,4,13,15,4,6,0,12,1,3,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
